# Simple Labels + No LDCA PRM Training Progress
# Model: AdaptivePRM
# Loss: 50% ListNet + 50% MSE
# Weighting: Uniform (no LDCA)
# Metrics: ranking_accuracy, spearman, loss
# Format: {metrics_dict}

{'train/listnet_loss': 0.2817344069480896, 'train/mse_loss': 0.0032693410757929087, 'train/n_groups': 2, 'train/total_loss': 0.14250187575817108, 'epoch': 0.1513632608096943}
{'train/listnet_loss': 0.2960349917411804, 'train/mse_loss': 0.005482032895088196, 'train/n_groups': 2, 'train/total_loss': 0.1507585048675537, 'epoch': 0.15411732305150097}
{'train/listnet_loss': 0.2821701765060425, 'train/mse_loss': 0.002111139241605997, 'train/n_groups': 2, 'train/total_loss': 0.14214065670967102, 'epoch': 0.15687138529330763}
{'train/listnet_loss': 0.2815428376197815, 'train/mse_loss': 0.0060728974640369415, 'train/n_groups': 2, 'train/total_loss': 0.14380787312984467, 'epoch': 0.1596254475351143}
{'train/listnet_loss': 0.31492316722869873, 'train/mse_loss': 0.006499088369309902, 'train/n_groups': 3, 'train/total_loss': 0.1607111245393753, 'epoch': 0.16237950977692095}
{'train/listnet_loss': 0.3280470669269562, 'train/mse_loss': 0.007837222889065742, 'train/n_groups': 3, 'train/total_loss': 0.16794215142726898, 'epoch': 0.16513357201872764}
{'train/listnet_loss': 0.30036771297454834, 'train/mse_loss': 0.00778603320941329, 'train/n_groups': 3, 'train/total_loss': 0.15407687425613403, 'epoch': 0.1678876342605343}
{'train/listnet_loss': 0.27696114778518677, 'train/mse_loss': 0.0038420872297137976, 'train/n_groups': 2, 'train/total_loss': 0.14040161669254303, 'epoch': 0.17064169650234096}
{'train/listnet_loss': 0.33010348677635193, 'train/mse_loss': 0.0033041404094547033, 'train/n_groups': 3, 'train/total_loss': 0.16670382022857666, 'epoch': 0.17339575874414762}
{'train/listnet_loss': 0.28607913851737976, 'train/mse_loss': 0.004854602739214897, 'train/n_groups': 2, 'train/total_loss': 0.1454668641090393, 'epoch': 0.17614982098595428}
{'train/listnet_loss': 0.26095280051231384, 'train/mse_loss': 0.008110595867037773, 'train/n_groups': 2, 'train/total_loss': 0.13453169167041779, 'epoch': 0.17890388322776093}
{'train/listnet_loss': 0.33402732014656067, 'train/mse_loss': 0.006893247831612825, 'train/n_groups': 4, 'train/total_loss': 0.1704602837562561, 'epoch': 0.18165794546956762}
{'train/listnet_loss': 0.19695091247558594, 'train/mse_loss': 0.004520310088992119, 'train/n_groups': 1, 'train/total_loss': 0.1007356122136116, 'epoch': 0.18441200771137428}
{'train/listnet_loss': 0.28202518820762634, 'train/mse_loss': 0.006471933797001839, 'train/n_groups': 2, 'train/total_loss': 0.14424856007099152, 'epoch': 0.18716606995318094}
{'train/listnet_loss': 0.2607964873313904, 'train/mse_loss': 0.0038993163034319878, 'train/n_groups': 2, 'train/total_loss': 0.13234789669513702, 'epoch': 0.1899201321949876}
{'train/listnet_loss': 0.28137558698654175, 'train/mse_loss': 0.002678209450095892, 'train/n_groups': 2, 'train/total_loss': 0.1420269012451172, 'epoch': 0.19267419443679426}
{'train/listnet_loss': 0.26081547141075134, 'train/mse_loss': 0.012597998604178429, 'train/n_groups': 2, 'train/total_loss': 0.13670673966407776, 'epoch': 0.19542825667860095}
{'train/listnet_loss': 0.2695164680480957, 'train/mse_loss': 0.002520805224776268, 'train/n_groups': 2, 'train/total_loss': 0.13601863384246826, 'epoch': 0.1981823189204076}
{'train/listnet_loss': 0.27743473649024963, 'train/mse_loss': 0.00815826840698719, 'train/n_groups': 2, 'train/total_loss': 0.14279650151729584, 'epoch': 0.20093638116221427}
{'train/listnet_loss': 0.2690182328224182, 'train/mse_loss': 0.005877059884369373, 'train/n_groups': 2, 'train/total_loss': 0.13744764029979706, 'epoch': 0.20369044340402093}
{'train/listnet_loss': 0.32134467363357544, 'train/mse_loss': 0.004104016814380884, 'train/n_groups': 3, 'train/total_loss': 0.1627243459224701, 'epoch': 0.2064445056458276}
{'train/listnet_loss': 0.31296464800834656, 'train/mse_loss': 0.0027535338886082172, 'train/n_groups': 3, 'train/total_loss': 0.15785908699035645, 'epoch': 0.20919856788763427}
{'train/listnet_loss': 0.269926518201828, 'train/mse_loss': 0.0030354356858879328, 'train/n_groups': 2, 'train/total_loss': 0.13648097217082977, 'epoch': 0.21195263012944093}
{'train/listnet_loss': 0.2608514726161957, 'train/mse_loss': 0.004246147815138102, 'train/n_groups': 2, 'train/total_loss': 0.13254880905151367, 'epoch': 0.2147066923712476}
{'train/listnet_loss': 0.26444053649902344, 'train/mse_loss': 0.010785113088786602, 'train/n_groups': 2, 'train/total_loss': 0.13761281967163086, 'epoch': 0.21746075461305425}
{'train/listnet_loss': 0.2596425414085388, 'train/mse_loss': 0.01954467035830021, 'train/n_groups': 2, 'train/total_loss': 0.13959360122680664, 'epoch': 0.2202148168548609}
{'eval_loss': 0.00371135487683668, 'eval_ranking_accuracy': 0.7949589071993459, 'eval_spearman': 0.7271892562684089, 'epoch': 0.22032497934453318}
{'train/listnet_loss': 0.2607160806655884, 'train/mse_loss': 0.010623177513480186, 'train/n_groups': 2, 'train/total_loss': 0.13566963374614716, 'epoch': 0.22296887909666757}
{'train/listnet_loss': 0.2700319290161133, 'train/mse_loss': 0.002267504343762994, 'train/n_groups': 2, 'train/total_loss': 0.13614971935749054, 'epoch': 0.22572294133847426}
{'train/listnet_loss': 0.2815890312194824, 'train/mse_loss': 0.005731884390115738, 'train/n_groups': 2, 'train/total_loss': 0.14366045594215393, 'epoch': 0.22847700358028092}
