# Simple Labels + Strong LDCA PRM Training Progress
# Model: AdaptivePRM
# Loss: 50% ListNet + 50% MSE
# LDCA: Strong weighting (alpha_victim=2.0, alpha_lucky=1.5)
# Metrics: ranking_accuracy, spearman, loss, weight_stats, gradient_norm
# Format: {metrics_dict}

{'train/listnet_loss': 0.42205098271369934, 'train/mse_loss': 0.008408788591623306, 'train/n_groups': 2, 'train/total_loss': 0.21522988379001617, 'train/weight_mean': 1.5411993265151978, 'train/weight_std': 0.29630300402641296, 'train/weight_min': 1.0, 'train/weight_max': 2.1153008937835693, 'train/victim_pct': 87.5, 'train/lucky_pct': 0.0, 'train/agreement_pct': 12.5, 'epoch': 0.08526576700633434}
{'train/listnet_loss': 0.4637739658355713, 'train/mse_loss': 0.007099218666553497, 'train/n_groups': 3, 'train/total_loss': 0.2354365885257721, 'train/weight_mean': 1.3693275451660156, 'train/weight_std': 0.4513648748397827, 'train/weight_min': 0.6399980187416077, 'train/weight_max': 2.405003547668457, 'train/victim_pct': 56.25, 'train/lucky_pct': 6.25, 'train/agreement_pct': 37.5, 'epoch': 0.088019829248141}
{'train/listnet_loss': 0.3564830422401428, 'train/mse_loss': 0.0038669630885124207, 'train/n_groups': 2, 'train/total_loss': 0.18017500638961792, 'train/weight_mean': 1.3153083324432373, 'train/weight_std': 0.22223924100399017, 'train/weight_min': 1.0, 'train/weight_max': 1.6179980039596558, 'train/victim_pct': 68.75, 'train/lucky_pct': 0.0, 'train/agreement_pct': 31.25, 'epoch': 0.09077389148994768}
{'train/listnet_loss': 0.3278253972530365, 'train/mse_loss': 0.006208647973835468, 'train/n_groups': 2, 'train/total_loss': 0.16701702773571014, 'train/weight_mean': 1.264130711555481, 'train/weight_std': 0.33026373386383057, 'train/weight_min': 0.41499999165534973, 'train/weight_max': 1.7599999904632568, 'train/victim_pct': 62.5, 'train/lucky_pct': 6.25, 'train/agreement_pct': 31.25, 'epoch': 0.09352795373175433}
{'train/listnet_loss': 0.44078528881073, 'train/mse_loss': 0.019808948040008545, 'train/n_groups': 3, 'train/total_loss': 0.23029711842536926, 'train/weight_mean': 1.4075565338134766, 'train/weight_std': 0.39220812916755676, 'train/weight_min': 1.0, 'train/weight_max': 2.5258684158325195, 'train/victim_pct': 68.75, 'train/lucky_pct': 0.0, 'train/agreement_pct': 31.25, 'epoch': 0.09628201597356101}
{'train/listnet_loss': 0.36875998973846436, 'train/mse_loss': 0.013843599706888199, 'train/n_groups': 2, 'train/total_loss': 0.19130179286003113, 'train/weight_mean': 1.4515621662139893, 'train/weight_std': 0.37896284461021423, 'train/weight_min': 0.699999988079071, 'train/weight_max': 2.1972427368164062, 'train/victim_pct': 75.0, 'train/lucky_pct': 6.25, 'train/agreement_pct': 18.75, 'epoch': 0.09903607821536767}
{'train/listnet_loss': 0.47439712285995483, 'train/mse_loss': 0.007822606712579727, 'train/n_groups': 3, 'train/total_loss': 0.24110986292362213, 'train/weight_mean': 1.0748118162155151, 'train/weight_std': 0.5586745738983154, 'train/weight_min': 0.44499799609184265, 'train/weight_max': 2.3139798641204834, 'train/victim_pct': 37.5, 'train/lucky_pct': 37.5, 'train/agreement_pct': 25.0, 'epoch': 0.10179014045717433}
{'train/listnet_loss': 0.3714510202407837, 'train/mse_loss': 0.004755216650664806, 'train/n_groups': 4, 'train/total_loss': 0.18810312449932098, 'train/weight_mean': 1.149437427520752, 'train/weight_std': 0.39472663402557373, 'train/weight_min': 0.35499998927116394, 'train/weight_max': 1.677004098892212, 'train/victim_pct': 56.25, 'train/lucky_pct': 18.75, 'train/agreement_pct': 25.0, 'epoch': 0.104544202698981}
{'train/listnet_loss': 0.39328882098197937, 'train/mse_loss': 0.005158998072147369, 'train/n_groups': 3, 'train/total_loss': 0.19922390580177307, 'train/weight_mean': 1.1259887218475342, 'train/weight_std': 0.3438147008419037, 'train/weight_min': 0.35499998927116394, 'train/weight_max': 1.8778421878814697, 'train/victim_pct': 37.5, 'train/lucky_pct': 12.5, 'train/agreement_pct': 50.0, 'epoch': 0.10729826494078766}
{'train/listnet_loss': 0.2680094838142395, 'train/mse_loss': 0.004780399613082409, 'train/n_groups': 2, 'train/total_loss': 0.1363949477672577, 'train/weight_mean': 0.8180981278419495, 'train/weight_std': 0.36081477999687195, 'train/weight_min': 0.25, 'train/weight_max': 1.399999976158142, 'train/victim_pct': 18.75, 'train/lucky_pct': 56.25, 'train/agreement_pct': 25.0, 'epoch': 0.11005232718259432}
